"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Adrian Carbonara","NO",20,1997-03-12,1997,"6.02",204,"RW","Barrie Colts",15,1,0,1,0.07,-1,0,0,0,0,0,0,0,0,16,1
"Artem Artemov","NO",8,1997-01-17,1997,"6.00",205,"RW","Saginaw Spirit",4,0,1,1,0.25,-7,0,0,0,0,0,0,0,0,4,1
"Keaton Middleton","NO",55,1998-02-10,1998,"6.06",235,"D","Saginaw Spirit",4,0,1,1,0.25,-1,0,0,0,0,0,0,0,0,0,1
"Will Petschenig","NO",65,1995-02-03,1995,"6.03",205,"D","Saginaw Spirit",4,0,1,1,0.25,-2,0,0,0,0,0,0,0,0,8,1
"Andrew Burns","NO",20,1997-02-02,1997,"6.00",181,"D","Windsor Spitfires",5,0,1,1,0.2,1,0,0,0,0,0,0,0,0,4,1
"Cole Carter","YES",26,1998-07-06,1998,"5.09",176,"RW","Windsor Spitfires",5,0,1,1,0.2,-1,0,0,0,0,0,0,0,0,0,1
"Connor Chatham","NO",11,1995-10-30,1995,"6.02",225,"RW","Windsor Spitfires",5,0,1,1,0.2,1,0,1,1,0,0,0,0,0,0,1
"Cristiano DiGiacinto","NO",96,1996-01-10,1996,"5.11",186,"LW","Windsor Spitfires",5,0,1,1,0.2,-1,0,1,1,0,0,0,0,0,2,1
"Sean Durzi","YES",5,1998-10-21,1998,"6.00",187,"D","Owen Sound Attack",5,0,1,1,0.2,-1,0,1,1,0,0,0,0,0,0,1
"Sam Harding","NO",89,1997-03-31,1997,"6.00",185,"C","Oshawa Generals",5,0,1,1,0.2,-4,0,0,0,0,0,0,0,0,4,1
"Hayden McCool","NO",27,1997-04-11,1997,"6.03",215,"C","Windsor Spitfires",5,0,1,1,0.2,-1,0,0,0,0,0,0,0,0,7,1
"Tyler Nother","NO",28,1998-02-07,1998,"6.04",199,"D","Windsor Spitfires",5,0,1,1,0.2,2,0,0,0,0,0,0,0,0,2,1
"Elijah Roberts","YES",98,1999-01-23,1999,"5.09",175,"D","Kitchener Rangers",5,0,1,1,0.2,-1,0,0,0,0,0,0,0,0,2,1
"Patrick Sanvido","NO",2,1996-06-28,1996,"6.06",230,"D","Windsor Spitfires",5,0,1,1,0.2,-5,0,0,0,0,0,0,0,0,0,1
"Marcus Dickerson","NO",12,1998-01-22,1998,"5.09",207,"RW","Mississauga Steelheads",7,0,1,1,0.14,1,0,0,0,0,0,0,0,0,2,1
"Stephen Gibson","NO",6,1997-03-03,1997,"6.03",202,"D","Mississauga Steelheads",7,0,1,1,0.14,1,0,0,0,0,0,0,0,0,6,1
"Stefan LeBlanc","NO",23,1996-03-16,1996,"6.00",199,"D","Mississauga Steelheads",7,0,1,1,0.14,-2,0,0,0,0,0,0,0,0,8,1
"Austin Osmanski","YES",36,1998-04-30,1998,"6.04",204,"D","Mississauga Steelheads",7,0,1,1,0.14,4,0,0,0,0,0,0,0,0,8,1
"Jason Smith","NO",37,1997-04-27,1997,"5.08",169,"C","Mississauga Steelheads",7,0,1,1,0.14,0,0,0,0,0,0,0,0,0,5,1
"Matt  Spencer","NO",27,1997-03-24,1997,"6.01",207,"D","Peterborough Petes",7,0,1,1,0.14,-4,0,0,0,0,0,0,0,0,13,1
