"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Luca Testa","NO",13,2006-04-10,2006,"6.01",190,"C","Brantford Bulldogs",6,1,2,3,0.5,-3,1,1,2,0,0,0,0,0,6,1
"Adam Benak","NO",9,2007-04-10,2007,"5.08",163,"C","Brantford Bulldogs",1,0,3,3,3,3,0,1,1,0,0,0,0,0,0,1
"Jacob Battaglia","NO",8,2006-03-17,2006,"6.01",202,"LW","Kingston Frontenacs",2,0,3,3,1.5,1,0,1,1,0,0,0,0,0,0,1
"Henry Brzustewicz","NO",2,2007-02-09,2007,"6.02",205,"D","London Knights",2,0,3,3,1.5,2,0,1,1,0,0,0,0,0,6,1
"Spencer Evans","NO",16,2006-05-12,2006,"6.01",198,"D","Soo Greyhounds",2,0,3,3,1.5,4,0,0,0,0,0,0,0,0,6,1
"Nathan Gaitens","NO",6,NA,NA,"6.00",160,"D","Kitchener Rangers",2,0,3,3,1.5,2,0,0,0,0,0,0,0,0,0,1
"Kaden Pitre","NO",17,2006-02-08,2006,"6.00",185,"C","Flint Firebirds",2,0,3,3,1.5,0,0,1,1,0,0,0,0,0,2,1
"Filip Ekberg","NO",34,2007-04-14,2007,"5.10",180,"RW","Ottawa 67's",3,0,3,3,1,1,0,0,0,0,0,0,0,0,0,1
"Edison Engle","NO",15,2007-02-15,2007,"6.02",172,"D","Brantford Bulldogs",3,0,3,3,1,5,0,0,0,0,0,0,0,0,0,1
"Brad Gardiner","NO",25,2005-03-06,2005,"6.01",191,"C","Barrie Colts",3,0,3,3,1,2,0,1,1,0,1,1,0,0,2,1
"Lenny Greenberg","NO",23,2005-03-07,2005,"6.00",178,"RD","Owen Sound Attack",4,0,3,3,0.75,4,0,1,1,0,0,0,0,0,7,1
"Ryan Kaczynski","YES",89,2009-07-08,2009,"6.03",158,"LW","Soo Greyhounds",4,0,3,3,0.75,-2,0,1,1,0,0,0,0,0,0,1
"Charlie Murata","YES",68,2009-02-15,2009,"6.00",190,"RW","Flint Firebirds",4,0,3,3,0.75,1,0,0,0,0,1,1,0,0,0,1
"Mikhail Zakharov","NO",27,2007-07-06,2007,"6.06",180,"C","London Knights",4,0,3,3,0.75,4,0,0,0,0,0,0,0,0,4,1
"Michael D'Alessio","YES",7,2008-12-03,2008,"6.02",185,"D","Erie Otters",5,0,3,3,0.6,0,0,1,1,0,0,0,0,0,6,1
"Sebastien Gervais","NO",15,2005-04-11,2005,"6.00",200,"C","Saginaw Spirit",5,0,3,3,0.6,1,0,2,2,0,0,0,0,0,6,1
"Evgeny Dubrovtsev","NO",18,2008-03-18,2008,"5.11",188,"C","North Bay Battalion",6,0,3,3,0.5,-4,0,0,0,0,0,0,0,0,2,1
"Adrian Manzo","NO",2,2007-08-28,2007,"6.01",190,"D","North Bay Battalion",6,0,3,3,0.5,-6,0,2,2,0,0,0,0,0,4,1
