"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Cameron Merrick",2007-11-10,"D","Owen Sound Attack",2,0,0,0,0,NA
"Camron Hankai",2007-03-22,"D","Brantford Bulldogs",1,0,0,0,0,NA
"Carson Andrew",2008-03-10,"RW","Soo Greyhounds",2,0,0,0,0,NA
"Carson Cameron",2007-06-27,"D","Peterborough Petes",2,0,0,0,0,NA
"Carson Harmer",2007-01-13,"C","London Knights",2,0,0,0,0,0
"Carter Beauchesne",2009-02-09,"LW","Flint Firebirds",1,0,0,0,0,NA
"Carter Chadwick",2007-08-18,"LW","Sarnia Sting",1,0,0,0,0,NA
"Carter Hicks",2008-02-20,"D","Brampton Steelheads",2,0,0,0,0,0
"Carter Kucher",2008-12-14,"D","Guelph Storm",2,0,0,0,0,NA
"Carter Kunopaski",2009-02-14,"D","North Bay Battalion",1,0,0,0,0,NA
"Carter Lewandowski",2009-06-02,"C","Niagara IceDogs",2,0,0,0,0,NA
"Carter Lowe",2006-03-01,"LW","Barrie Colts",2,0,0,0,0,NA
"Carter Stevens",2008-01-11,"RW","Guelph Storm",2,0,0,0,0,NA
"Charlie Ashcroft",2008-03-01,"D","Soo Greyhounds",2,0,0,0,0,NA
"Charlie Hotles",2008-07-05,"C","Flint Firebirds",1,0,0,0,0,NA
"Charlie Murata",2009-02-15,"RW","Flint Firebirds",1,0,0,0,0,NA
"Charlie Puglisi",2008-04-16,"C","Kitchener Rangers",2,0,0,0,0,NA
"Charlie Sullivan",2009-03-21,"D","Guelph Storm",2,0,0,0,0,NA
"Chase Gaughan",2008-07-17,"RW","Sarnia Sting",1,0,0,0,0,NA
"Chase Hull",2007-04-28,"LW","Niagara IceDogs",2,0,0,0,0,NA
"Chase Yanni",2007-01-08,"LW","Ottawa 67's",1,0,0,0,0,NA
"Christopher Brown",2006-01-27,"LW","Soo Greyhounds",2,0,0,0,0,NA
"Christopher Weiss",2009-01-17,"D","Soo Greyhounds",2,0,0,0,0,0
"Cody Costello",2009-04-22,"LD","Oshawa Generals",2,0,0,0,0,NA
"Cody Wood",2008-06-13,"D","London Knights",2,0,0,0,0,NA
"Cohen Bidgood",2007-01-11,"RW","London Knights",2,0,0,0,0,0
"Colby Coombe",2009-12-15,"LW","Ottawa 67's",1,0,0,0,0,0
"Cole Dubowsky",2007-06-11,"LW","Windsor Spitfires",2,0,0,0,0,NA
"Cole Emerton",2008-03-04,"D","Sarnia Sting",1,0,0,0,0,0
"Cole Mazzoni",2009-05-12,"LW","Oshawa Generals",2,0,0,0,0,0
"Cole Wreggitt",2008-07-13,"D","Sudbury Wolves",2,0,0,0,0,NA
"Cole Zurawski",2008-02-06,"RW","Owen Sound Attack",2,0,0,0,0,0
"Colin Fitzgerald",2008-04-01,"RW","Soo Greyhounds",2,0,0,0,0,0
"Colton Cribari",2010-04-10,"D","Erie Otters",1,0,0,0,0,NA
"Connor Bewick",2006-04-05,"D","Ottawa 67's",1,0,0,0,0,0
"Cooper Dennis",2007-05-07,"RW","Peterborough Petes",2,0,0,0,0,0
"Cooper McAslan",2009-03-16,"D","London Knights",2,0,0,0,0,0
"Cooper Williams",2007-04-18,"LW","Flint Firebirds",1,0,0,0,0,0
"Cullen McCrate",2007-04-18,"D","Brantford Bulldogs",2,0,0,0,0,NA
"Dante D'Andrea",2009-01-22,"D","Kingston Frontenacs",2,0,0,0,0,0
"Darian Anderson",2006-12-22,"RW","Flint Firebirds",1,0,0,0,0,0
"David Bedkowski",2006-12-07,"D","Ottawa 67's",1,0,0,0,0,NA
"David Buchman",2009-07-01,"D","Brantford Bulldogs",2,0,0,0,0,0
"Declan McNally",2010-09-28,"D","Barrie Colts",2,0,0,0,0,NA
"Devran Brown",2008-04-23,"D","North Bay Battalion",1,0,0,0,0,NA
"Dillon Atkinson",2008-01-21,"C","Owen Sound Attack",2,0,0,0,0,NA
"Dima Zhilkin",2008-10-21,"LW","Saginaw Spirit",2,0,0,0,0,0
"Dmitri Toporowski",2006-08-11,"RD","Kitchener Rangers",2,0,0,0,0,NA
"Dmitry Savin",2009-04-14,"C","Saginaw Spirit",2,0,0,0,0,0
"Doman Szongoth",2008-06-08,"C","Soo Greyhounds",2,0,0,0,0,NA
